text,sat,averagePrice,location
Back Bay,4.514184397,254,100
Charlestown,4.804878049,235,200
Fenway/Kenmore,4.48015873,218,300
South Boston,4.734042553,209,400
South End,4.677304965,204,500
North End,4.615942029,195,600
Beacon Hill,4.549107143,189,700
Harvard Square,4.543478261,182,800
Cambridge,4.64167916,160,900
Jamaica Plain,4.774285714,154,1000
Brookline,4.646067416,153,1100
Newton,4.676470588,151,1200
Roxbury,4.615942029,148,1300
Mission Hill,4.375,146,1400
Coolidge Corner,4.7375,134,1500
Somerville,4.66221374,132,1600
Watertown,4.816666667,128,1700
Allston-Brighton,4.49378882,118,1800
East Boston,4.538461538,118,1900
Dorchester,4.504901961,100,2000
Revere,4.275862069,97,2100
Medford,4.65,82,2200